id,Type,Name,Grade,District,Lat,Lon,Reviewer_Nationality
251,Restaurants,THE SIZZLE RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
252,Restaurants,GIHANS FAMILY RESTUARANT,A,Colombo,79.88473526,6.867054459,United Kingdom
253,Restaurants,GOOD FOOD RESTAURANT,A,Colombo,79.86994824,6.967188175,Italy
254,Restaurants,GIRES RESTAURANT,B,Kandy,80.625828,7.295044,France
255,Restaurants,INOKA CHINEES RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
256,Restaurants,ICELAND RESIDENCIES RESTAURANT,A,Colombo,80.01667,6.86667,Russia
257,Restaurants,LA - TRATTORIA,A,Colombo,79.913892,6.897711,Italy
258,Restaurants,FH HOLDINGS,A,Colombo,80.01667,6.86667,Norway
259,Restaurants,OTEL RESTAURANT,A,Gampaha,80,7.13333,Netherlands
260,Restaurants,CO-OPERTIVE RESTAURANT,B,Galle,80.223192,6.043279,United Kingdom
261,Restaurants,HILDON HOUSE,A,Colombo,79.87536019,6.962896944,United Kingdom
262,Restaurants,NATURE VILLAGE AND RESTATURANT,A,Colombo,79.98429232,6.935757206,Isle of Man
263,Restaurants,B.H. RESTAURANT,A,Colombo,80.01667,6.86667,Sweden
264,Restaurants,STAR HOTEL,A,Colombo,80.01667,6.86667,Ireland
265,Restaurants,SAWADA LIVING CREATION,A,Colombo,79.923272,6.851146,Canada
266,Restaurants,CLUB CONCEPT RESTAURANT,A,Kegalle,80.38446533,7.286498374,Croatia
267,Restaurants,GIMHAN RESTAURANT,A,Colombo,80.01667,6.86667,Saudi Arabia
268,Restaurants,GREEN VIEW HOTEL,A,Kurunegala,80.25,7.75,Ireland
269,Restaurants,HAWAI RESTAURANT & PUB,A,Colombo,79.913892,6.897711,United Kingdom
270,Restaurants,HOTEL FRANCIS,A,Galle,80.223192,6.043279,United Arab Emirates
271,Restaurants,KENT RESTAURANT,A,Colombo,79.98429232,6.935757206,New Zealand
272,Restaurants,MANGOS,A,Colombo,80.01667,6.86667,United Kingdom
273,Restaurants,MAHARAJA PALACE RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
274,Restaurants,RAJEEI RESTAURANT,A,Jaffna,80.00917182,9.664925571,Lithuania
275,Restaurants,RALIDIYA RESTAURANT,A,Kegalle,80.385626,7.303204,United Kingdom
276,Restaurants,NEW RANRO RESTAURANT,A,Kandy,80.5521143,7.265634367,United Kingdom
277,Restaurants,RANVIYANA RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
278,Restaurants,NEW RANSILU RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
279,Restaurants,RHYTHM & BLUES,A,Colombo,80.01667,6.86667,United Kingdom
280,Restaurants,THE DEN,A,Colombo,80.01667,6.86667,United Kingdom
281,Restaurants,THE WHITE ROSE TOURIST RESTAURANT,A,Gampaha,79.843249,7.206416,United Kingdom
282,Restaurants,TIVERTON CHINESE RESTAURANT,A,Kandy,80.625828,7.295044,Ireland
283,Restaurants,THE PAVILION,B,Colombo,80.01667,6.86667,Netherlands
284,Restaurants,THE STATION S.U.N,A,Colombo,79.880242,6.838232,United Kingdom
285,Restaurants,PUBS AND PLACES-NAWALA,A,Colombo,79.893438,6.877014,United Kingdom
286,Restaurants,SHANGHAI TERRACE,A,Colombo,79.90916432,6.903166337,United Kingdom
287,Restaurants,GOLDEN MERMAID HOTELS,A,Galle,80.223192,6.043279,United Kingdom
288,Restaurants,AMBEPUSSA AVANHALA,A,Kegalle,80.19653913,7.224960913,Switzerland
289,Restaurants,ARPICO FOOD COURT,A,Kandy,80.625828,7.295044,Ireland
